Title,Price (INR),Source,Link
Nothing 45W Power Adapter,"₹1,999",Flipkart,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:4841065317511404594,headlineOfferDocid:13147817596862235202,imageDocid:6357600470593775628,rds:PC_5056529739644045281|PROD_PC_5056529739644045281,gpcid:5056529739644045281,mid:576462460145364139,pvt:hg&hl=en&gl=in&udm=28"
Nothing 45W USB-C Charger - Powerful and Compact Fast Charging for Your Devices,"₹2,099",Instamart,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12341432708140109303,headlineOfferDocid:12341432708140109303,imageDocid:17029854897815051670,pvt:hg&hl=en&gl=in&udm=28"
"45W Fast Charger for Nothing Phone 3A/2A/2/1, CMF Phone 1 Nothing 2a Plus/Phon 2A/Phone 2/CMF, Nothing 3A Charger 1/Buds/Ear Stick| Original 45 W",₹659,Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:11267253004819551569,headlineOfferDocid:11267253004819551569,imageDocid:11381097059450553161,pvt:hg&hl=en&gl=in&udm=28"
Sounce 45W PD 3.0 & PPS Fast Charging Charger,₹799,Zepto,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:7956471269788301380,headlineOfferDocid:10679123938433126914,imageDocid:8954731113095973909,gpcid:3200990183620181605,mid:576462835224906600,pvt:hg&hl=en&gl=in&udm=28"
"Nothing Original 45W Rapid Fast Type C Mobile Phone Charger Adapter Compatible with CMF by Nothing Phone 2a, Phone 2, Phone 1, [PD PPS Technology]",₹599,Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:2677679689946210568,headlineOfferDocid:2677679689946210568,imageDocid:13022802815115198990,pvt:hg&hl=en&gl=in&udm=28"
"Ailkin Nothing Type C Adapter (45W, White) - 1 unit",₹649,Blinkit,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:5893252691187368344,headlineOfferDocid:5893252691187368344,imageDocid:12488238113288030146,pvt:hg&hl=en&gl=in&udm=28"
Cmf by Nothing Original 45W Fast Charger Adapter for Cmf Phone,₹749,93mobiles,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17384321080455654572,headlineOfferDocid:17384321080455654572,imageDocid:16307786179434868984,pvt:hg&hl=en&gl=in&udm=28"
Tart Nothing Phone 45W Original Type C Superfast Power Charger Adapter,₹599,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17585725656875933941,headlineOfferDocid:17585725656875933941,imageDocid:881165217216955157,pvt:hg&hl=en&gl=in&udm=28"
Power (45W),"₹1,299",Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:15434991210665833664,headlineOfferDocid:15032162240211568812,imageDocid:1141651026074277717,rds:PC_12969379089463584486|PROD_PC_12969379089463584486,gpcid:12969379089463584486,mid:576462793874534817,pvt:hg&hl=en&gl=in&udm=28"
Cmf by Nothing 45W Charger with Type C Port for Cmf Phone 1,₹749,93mobiles,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12963258471010330947,headlineOfferDocid:12963258471010330947,imageDocid:7449434271936869601,pvt:hg&hl=en&gl=in&udm=28"
"Original 45W Charger for Nothing Phone 3 2 1 a Plus Quick Charge Adapter with Cable, White","₹1,599",Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:10935488589222007782,headlineOfferDocid:10935488589222007782,imageDocid:894284940692612702,pvt:hg&hl=en&gl=in&udm=28"
"Nothing 45W USB-C Power Charger (Only Adapter), Phone (2a) Special Edition","₹1,343.16",ChargingCable.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:18057616359385609044,headlineOfferDocid:18057616359385609044,imageDocid:15635968483495637009,rds:PC_5056529739644045281|PROD_PC_5056529739644045281,pvt:hg&hl=en&gl=in&udm=28"
"MAK 45W USB C CMF by Nothing Fast Charger Adapter for CMF Phone 1/Nothing Phone 3a Pro/3a/2A/2a Plus/2/Buds, 45 W Type C Charging Adaptor, White",₹489,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:8626901262542720054,headlineOfferDocid:8626901262542720054,imageDocid:12336061823741346840,pvt:hg&hl=en&gl=in&udm=28"
"Nothing Phone 2A 45W,USB-C Compatible with 45W USB C Charger Adapter Compatible with Nothing",₹799,93mobiles,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:2775193541332282689,headlineOfferDocid:2775193541332282689,imageDocid:2484829141018336574,pvt:hg&hl=en&gl=in&udm=28"
"45W Fast Charger for Nothing Phone 3A/2A/2/1, CMF Phone 1 | PPS PD 3.0 Type-C Wall Adapter | BIS Certified | Compatible with Nothing 3A Pro/2A Plus",₹598,Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:4508223335890863504,headlineOfferDocid:4508223335890863504,imageDocid:16357320255360367102,pvt:hg&hl=en&gl=in&udm=28"
Muvit 45W Charger USB Type C To C Adapter With Nothing Cable Comaptible With CMF Phone/Nothing Phone 1/ Nothing Phone 2/ Nothing Phone2A/ Nothing,₹699,Muvit,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:4149993757563953613,headlineOfferDocid:2804949783285570464,imageDocid:1526063942430397536,pvt:hg&hl=en&gl=in&udm=28"
"Original 45W Fast Charger for Nothing Phone 3A/2A/2/1, CMF Phone 1 | PPS PD 3.0 Type-C Wall Adapter | Compatible with Nothing 3A Pro/2A Plus | White",₹665,Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:9253006604101720735,headlineOfferDocid:9253006604101720735,imageDocid:5766104006028777445,pvt:hg&hl=en&gl=in&udm=28"
Tart Original Nothing Phone 45W Type C Quick Charger Original Power Adapter,₹599,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17619287517716543728,headlineOfferDocid:17619287517716543728,imageDocid:9702622893499058655,pvt:hg&hl=en&gl=in&udm=28"
Nothing 45 Watts USB-C Compatible Power Adapter with PD PPS Technology (White),"₹2,299",cayroshop.com,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17064441628903855157,headlineOfferDocid:17064441628903855157,imageDocid:18424107672050267261,pvt:hg&hl=en&gl=in&udm=28"
Original 45W Charger for Nothing Phone 2 Rapid Charging Adapter with Cable,"₹1,598",Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:812698249884911888,headlineOfferDocid:812698249884911888,imageDocid:14378079790294008336,pvt:hg&hl=en&gl=in&udm=28"
"Nothing phone (1) 45W ,USB-C Power Adapter Only","₹1,343.16",ChargingCable.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:10691287600663495520,headlineOfferDocid:10691287600663495520,imageDocid:7546290306324677845,rds:LO_10691287600663495520|PROD_LO_10691287600663495520,pvt:hg&hl=en&gl=in&udm=28"
Ailkin 45W Super Fast Charger Adaptor,"₹1,029",Zepto,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:17444274717143477490,headlineOfferDocid:143549058539850462,imageDocid:2914170196528097624,gpcid:9530884937661688987,mid:576462835223106278,pvt:hg&hl=en&gl=in&udm=28"
Original 45W for Nothing CMF Phone 1.5G Quick Charging Adapter (ics-111) White.,"₹1,299",Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:1512279338488787702,headlineOfferDocid:1512279338488787702,imageDocid:11563100168569163401,pvt:hg&hl=en&gl=in&udm=28"
MUDO Original Nothing 45W USB Type C Adapter Compatible With Nothing CMF Phone 1 Nothing Phone 2,₹599,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:5410290227885050488,headlineOfferDocid:5410290227885050488,imageDocid:13220736346410454574,pvt:hg&hl=en&gl=in&udm=28"
"UGMA PRODUCTS Nothing 45W,USBC Compatible with 45W USB C Charger Adapter Nothing Phone 2a/Phone 2/Phone 1/Buds/Ear Stick/Laptop USB C Fast Power",₹706,Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:9215821483597380652,headlineOfferDocid:9215821483597380652,imageDocid:9849304423319321234,pvt:hg&hl=en&gl=in&udm=28"
"45 Watt Fast Adapter Wall Charger Compatible for Nothing Phone 2, Nothing Phone 1, White",₹849,MMAK,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:3661049817786189384,headlineOfferDocid:3661049817786189384,imageDocid:2200213900270496705,pvt:hg&hl=en&gl=in&udm=28"
Original 45W Charger for Nothing Phone 2 Quick Charge Power Adapter.,"₹1,299",Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17908732586936698211,headlineOfferDocid:17908732586936698211,imageDocid:7485225721301587980,pvt:hg&hl=en&gl=in&udm=28"
Tart Nothing Phone 45W Original USB Type C Fast Charging Power Adapter Compatible With Nothing CMF Phone 1,₹599,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:5114749072844367745,headlineOfferDocid:5114749072844367745,imageDocid:9886042797812769666,pvt:hg&hl=en&gl=in&udm=28"
Shopkart 45W Gan Fast Charger Compatible For Nothing Phone 3A 2A 2 1 CMF Phone 1 PPS PD 3.0 Type-C Adapter BIS Certified Compatible With 3A Pro 2A,₹899,Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:15900591735865245175,headlineOfferDocid:15900591735865245175,imageDocid:9071821439115523630,pvt:hg&hl=en&gl=in&udm=28"
100 Pieces 45W Nothing Adapter - Charger Type: Fast Charging,₹330.40,Tradeindia.com,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:3564621909784855518,headlineOfferDocid:3564621909784855518,imageDocid:11290826700373379646,pvt:hg&hl=en&gl=in&udm=28"
Nothing 45W PPS Type C Rapidly Charging Adapter Compatible with Nothing Phone 3|3A|3A Pro|2|2A|2A Plus|CMF Phone 2 Pro|1|CMF|Buds|Tablet & Other USB,₹689,Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:1358074402590484987,headlineOfferDocid:1358074402590484987,imageDocid:15263364934105004990,pvt:hg&hl=en&gl=in&udm=28"
"MAK 45W USB C CMF by Nothing Fast Charger Adapter for CMF Phone 1/Nothing Phone 3a Pro/3a/2A/2a Plus/2/Buds, 45 W Type C Charging Adaptor,White",₹489,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:11277678782220668993,headlineOfferDocid:11277678782220668993,imageDocid:6997461774557952964,pvt:hg&hl=en&gl=in&udm=28"
"45 Watt Fast Adapter Wall Charger With Cable Compatible for Nothing Phone 2, Nothing Phone 1, White",₹949,MMAK,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:10499635873826967079,headlineOfferDocid:10499635873826967079,imageDocid:15900797102030342575,pvt:hg&hl=en&gl=in&udm=28"
Original 45W Compatible with Nothing Phone (3a) (Only Adapter),"₹1,099",Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:8439556043478938268,headlineOfferDocid:8439556043478938268,imageDocid:6128249163534964566,pvt:hg&hl=en&gl=in&udm=28"
"Dr Vaku LUCENT 45W Nothing Original Type C Fast Charger Adapter for Phone 3/3a/2/2a/2a Plus/Phone 2A/Phone 2 CMF Nothing Phone 1, USB C Power Charging","₹1,059",Zop,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12696095800602226529,headlineOfferDocid:12696095800602226529,imageDocid:17320302155971996340,pvt:hg&hl=en&gl=in&udm=28"
Tart Nothing 45W Type C Original Adapter Compatible With Nothing CMF Phone 1 Nothing Phone 2 2A,₹599,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12146056078847113582,headlineOfferDocid:12146056078847113582,imageDocid:12671900139880515902,pvt:hg&hl=en&gl=in&udm=28"
"[Original] 45W USB C Fast Charger Adapter, Compatible with Nothing 2a Plus/Phone 2A/Phone 2/CMF, Nothing 3A Charger 1/Buds/Ear Stick, PPS PD 45 W",₹648,Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:14062745051060906526,headlineOfferDocid:14062745051060906526,imageDocid:17086472716772592338,pvt:hg&hl=en&gl=in&udm=28"
Tart Nothing Phone Compatible 45W Type C Superfast Original Charger Adapter,₹599,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:8339868379244113100,headlineOfferDocid:8339868379244113100,imageDocid:11574466667193610914,pvt:hg&hl=en&gl=in&udm=28"
Original 45W Charger with C to C Cable Compatible with Nothing Phone 2 Phone 1 2A 2A Plus,"₹1,699",Amazon.in,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:324726374094114372,headlineOfferDocid:324726374094114372,imageDocid:6582678321281328203,pvt:hg&hl=en&gl=in&udm=28"
MUDO Original Nothing 45W Type C Charger Adapter Compatible With Nothing CMF Phone 1 Nothing Phone Series,₹599,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:9632988769393211215,headlineOfferDocid:9632988769393211215,imageDocid:650398056701378908,pvt:hg&hl=en&gl=in&udm=28"
MUDO Original 45W PD USB C Charger with Type C Cable Compatible with Nothing Phone 2 2A CMF Phone 1,₹699,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:8871713921289530371,headlineOfferDocid:8871713921289530371,imageDocid:16420475042813729534,pvt:hg&hl=en&gl=in&udm=28"
Hespa 45W PD Original Super Fast Charger with USB C to C Cable Compatible with Nothing Phone 2 2A CMF Phone 1,₹699,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:420690785112246059,headlineOfferDocid:420690785112246059,imageDocid:6529192224668423111,pvt:hg&hl=en&gl=in&udm=28"
"MMAK 45W USB C Fast Charger Adapter with Cable Compatible for CMF Phone 1/Nothing Phone 3a Pro/3a/2A/2a Plus/2/Buds, 45 W with Type C Cable Charging,",₹539,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:7336628160677863179,headlineOfferDocid:7336628160677863179,imageDocid:15422125067209597731,pvt:hg&hl=en&gl=in&udm=28"
Jaaro 45W PD 3 Super Fast Charger with Cable Compatible with Nothing Phone 2 2A CMF Phone 1,₹699,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:15607690011322134255,headlineOfferDocid:15607690011322134255,imageDocid:17833150656967932932,pvt:hg&hl=en&gl=in&udm=28"
Hespa Original 45W USB C Super Fast PD 3 Charger with Cable Compatible with Nothing Phone 2 2A CMF Phone 1,₹699,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:1667954203819909421,headlineOfferDocid:1667954203819909421,imageDocid:8129451377118674628,pvt:hg&hl=en&gl=in&udm=28"
Jaaro 45W PD Charger with USB C Cable Original Compatible with Nothing Phone 2 2A CMF Phone 1,₹699,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:1048148974635014240,headlineOfferDocid:1048148974635014240,imageDocid:10744525167380508820,pvt:hg&hl=en&gl=in&udm=28"
Jaaro Original 45W PD USB C Charger with Type C Cable Compatible with Nothing Phone 2 2A CMF Phone 1,₹699,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:13775441115492343418,headlineOfferDocid:13775441115492343418,imageDocid:14422118531244857752,pvt:hg&hl=en&gl=in&udm=28"
THE BLACK STORE Original Nothing Phone 45W Type C To C Mobile Charging Cable Compatible With 2A/2/Cmf 1 Support Rapidly Charging Fast Data Transfer,₹799,Lynacz,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:7398978746503101955,headlineOfferDocid:7398978746503101955,imageDocid:7417863149891355747,pvt:hg&hl=en&gl=in&udm=28"
SUSNWERE Original 45W Adapter for Nothing Phone 1 | Lynacz,"₹1,299",Lynacz,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17551517432479075106,headlineOfferDocid:17551517432479075106,imageDocid:14891634404388128001,rds:PC_12969379089463584486|PROD_PC_12969379089463584486,pvt:hg&hl=en&gl=in&udm=28"
SUSNWERE Original 45W Adapter for Nothing Phone 2A Plus | Lynacz,"₹1,299",Lynacz,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:5472748636968677927,headlineOfferDocid:5472748636968677927,imageDocid:17898460825076669777,pvt:hg&hl=en&gl=in&udm=28"
"QQLIKE Original Adapter For Nothing Phone 45W Charger With Type C Port For Phone 2A/Phone 2/Phone 1,Pps Pd 45 Watt Fast Charging Support Samsung/Honor","₹1,262",Lynacz,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:9922486165223801458,headlineOfferDocid:9922486165223801458,imageDocid:7698405554682873065,pvt:hg&hl=en&gl=in&udm=28"
Xyncall Charger 45W Fast Charging Compatible with Nothing Phones,₹699,Xyncall,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:13896065550470893428,headlineOfferDocid:13896065550470893428,imageDocid:10492023574494256230,pvt:hg&hl=en&gl=in&udm=28"
XIAWAO Original Fast Charger 45W Compatible with Nothing Phone 2A Plus | PPS Power Delivery 45 watt Fast Charging Support*White (Cable*Adapter) |,"₹1,299",Lynacz,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:2101657731990295087,headlineOfferDocid:2101657731990295087,imageDocid:11079942097596057183,pvt:hg&hl=en&gl=in&udm=28"
XIAWAO Original SuperFast Charging Adapter 45W Compatible with Nothing Phone 2A Plus | PPS Power Delivery 45 watt Fast Charging Support*White (No,"₹1,299",Lynacz,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:10050205703955143010,headlineOfferDocid:10050205703955143010,imageDocid:9468673156384479395,pvt:hg&hl=en&gl=in&udm=28"
"Nothing phone 45W ,USB-C Compatible Power Charger (White)","₹1,499",Unbox Your Mobile,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:18115310971141865950,headlineOfferDocid:18115310971141865950,imageDocid:9885102491962229601,pvt:hg&hl=en&gl=in&udm=28"
"MMAK 45W USB C CMF by Nothing Fast Charger Adapter Compatible for CMF Phone 1/Nothing Phone 3a Pro/3a/2A/2a Plus/2/Buds, 45 W Type C Charging Adaptor,",₹489,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:15598112801725631505,headlineOfferDocid:15598112801725631505,imageDocid:12583709063990281289,pvt:hg&hl=en&gl=in&udm=28"
Tart Original 45W PD Super Fast Charger with USB C Cable Compatible with Nothing Phone 2 2A CMF Phone 1,₹699,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:7944205564894184403,headlineOfferDocid:7944205564894184403,imageDocid:6678625542036000179,pvt:hg&hl=en&gl=in&udm=28"
Tart Original 45W PD Charger with USB C to C Cable Compatible with Nothing Phone 2 2A CMF Phone 1,₹699,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12280662356920199857,headlineOfferDocid:12280662356920199857,imageDocid:5553986795395187706,pvt:hg&hl=en&gl=in&udm=28"
mpix 45W PD Super Fast Charger with USB C to C Cable Compatible with Nothing Phone 2 2A CMF Phone 1,₹699,JioMart Marketplace,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:1771116593927236334,headlineOfferDocid:1771116593927236334,imageDocid:7664485597498011792,pvt:hg&hl=en&gl=in&udm=28"
"LYNACZ ORIGINAL 45W N0THING Original USB-C Power Charger Adapter for Nothing Phone 2a, Phone 2,Phone 1, Bud, Laptops & More – PD3.0/QC4.0+/QC3.0/QC2.0","₹1,299",Lynacz,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:10721947890008551960,headlineOfferDocid:10721947890008551960,imageDocid:349661212113500015,pvt:hg&hl=en&gl=in&udm=28"
"LYNACZ Original 45W Type-C CMF Charger Compatible with CMF Phone 1, Nothing Phone 1, Nothing Phone 2, Nothing Phone 2A, Nothing Phone 2A Plus Charger","₹1,499",Lynacz,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:134109731902416434,headlineOfferDocid:134109731902416434,imageDocid:14875822531001161397,pvt:hg&hl=en&gl=in&udm=28"
XIAWAO Original Fast Charger 45W Adapter with Type C Cable Compatible with Nothing Phone 1 | PD Fast Charging Support*White (Adapter&Cable) | Lynacz,"₹1,299",Lynacz,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12401202942885694066,headlineOfferDocid:12401202942885694066,imageDocid:15946878566097541134,pvt:hg&hl=en&gl=in&udm=28"
