Title,Price,Link,Source
Nothing Phone 45W USB-C Compatible Power Charger,"₹1,999","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:4841065317511404594,headlineOfferDocid:13147817596862235202,imageDocid:6357600470593775628,rds:PC_5056529739644045281|PROD_PC_5056529739644045281,gpcid:5056529739644045281,mid:576462460145364139,pvt:hg&hl=en&gl=in&udm=28",Flipkart
Nothing 45W USB-C Charger - Powerful and Compact Fast Charging for Your Devices,"₹2,099","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12341432708140109303,headlineOfferDocid:12341432708140109303,imageDocid:17029854897815051670,pvt:hg&hl=en&gl=in&udm=28",Instamart
"45W Fast Charger for Nothing Phone 3A/2A/2/1, CMF Phone 1 Nothing 2a Plus/Phon 2A/Phone 2/CMF, Nothing 3A Charger 1/Buds/Ear Stick| Original 45 W",₹659,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:11267253004819551569,headlineOfferDocid:11267253004819551569,imageDocid:11381097059450553161,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
Sounce 45W Type-C Fast Charging Charger PD 3.0 & PPS,₹799,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:7956471269788301380,headlineOfferDocid:10679123938433126914,imageDocid:8954731113095973909,gpcid:3200990183620181605,mid:576462835224906600,pvt:hg&hl=en&gl=in&udm=28",Zepto
"Nothing Original 45W Rapid Fast Type C Mobile Phone Charger Adapter Compatible with CMF by Nothing Phone 2a, Phone 2, Phone 1, [PD PPS Technology]",₹599,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:2677679689946210568,headlineOfferDocid:2677679689946210568,imageDocid:13022802815115198990,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
Cmf by Nothing Original 45W Fast Charger Adapter for Cmf Phone,₹749,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17384321080455654572,headlineOfferDocid:17384321080455654572,imageDocid:16307786179434868984,pvt:hg&hl=en&gl=in&udm=28",93mobiles
"Ailkin Nothing Type C Adapter (45W, White) - 1 unit",₹649,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:5893252691187368344,headlineOfferDocid:5893252691187368344,imageDocid:12488238113288030146,pvt:hg&hl=en&gl=in&udm=28",Blinkit
Tart Nothing Phone 45W Original Type C Superfast Power Charger Adapter,₹599,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17585725656875933941,headlineOfferDocid:17585725656875933941,imageDocid:881165217216955157,pvt:hg&hl=en&gl=in&udm=28",JioMart Marketplace
Power (45W),"₹1,299","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:15434991210665833664,headlineOfferDocid:15032162240211568812,imageDocid:1141651026074277717,rds:PC_12969379089463584486|PROD_PC_12969379089463584486,gpcid:12969379089463584486,mid:576462793874534817,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
Cmf by Nothing 45W Charger with Type C Port for Cmf Phone 1,₹749,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12963258471010330947,headlineOfferDocid:12963258471010330947,imageDocid:7449434271936869601,pvt:hg&hl=en&gl=in&udm=28",93mobiles
"Original 45W Charger for Nothing Phone 3 2 1 a Plus Quick Charge Adapter with Cable, White","₹1,599","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:10935488589222007782,headlineOfferDocid:10935488589222007782,imageDocid:894284940692612702,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
"Nothing 45W USB-C Power Charger (Only Adapter), Phone (2a) Special Edition","₹1,343.16","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:18057616359385609044,headlineOfferDocid:18057616359385609044,imageDocid:15635968483495637009,rds:PC_5056529739644045281|PROD_PC_5056529739644045281,pvt:hg&hl=en&gl=in&udm=28",ChargingCable.in
"MAK 45W USB C CMF by Nothing Fast Charger Adapter for CMF Phone 1/Nothing Phone 3a Pro/3a/2A/2a Plus/2/Buds, 45 W Type C Charging Adaptor, White",₹489,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:8626901262542720054,headlineOfferDocid:8626901262542720054,imageDocid:12336061823741346840,pvt:hg&hl=en&gl=in&udm=28",JioMart Marketplace
"Nothing Phone 2A 45W,USB-C Compatible with 45W USB C Charger Adapter Compatible with Nothing",₹799,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:2775193541332282689,headlineOfferDocid:2775193541332282689,imageDocid:2484829141018336574,pvt:hg&hl=en&gl=in&udm=28",93mobiles
"45W Fast Charger for Nothing Phone 3A/2A/2/1, CMF Phone 1 | PPS PD 3.0 Type-C Wall Adapter | BIS Certified | Compatible with Nothing 3A Pro/2A Plus",₹598,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:4508223335890863504,headlineOfferDocid:4508223335890863504,imageDocid:16357320255360367102,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
Nothing 45 Watts USB-C Compatible Power Adapter with PD PPS Technology (White),"₹2,299","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17064441628903855157,headlineOfferDocid:17064441628903855157,imageDocid:18424107672050267261,pvt:hg&hl=en&gl=in&udm=28",cayroshop.com
Muvit 45W Charger USB Type C To C Adapter With Nothing Cable Comaptible With CMF Phone/Nothing Phone 1/ Nothing Phone 2/ Nothing Phone2A/ Nothing,₹699,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:4149993757563953613,headlineOfferDocid:2804949783285570464,imageDocid:1526063942430397536,pvt:hg&hl=en&gl=in&udm=28",Muvit
"Original 45W Fast Charger for Nothing Phone 3A/2A/2/1, CMF Phone 1 | PPS PD 3.0 Type-C Wall Adapter | Compatible with Nothing 3A Pro/2A Plus | White",₹665,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:9253006604101720735,headlineOfferDocid:9253006604101720735,imageDocid:5766104006028777445,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
Tart Original Nothing Phone 45W Type C Quick Charger Original Power Adapter,₹599,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17619287517716543728,headlineOfferDocid:17619287517716543728,imageDocid:9702622893499058655,pvt:hg&hl=en&gl=in&udm=28",JioMart Marketplace
"Nothing phone (1) 45W ,USB-C Power Adapter Only","₹1,343.16","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:10691287600663495520,headlineOfferDocid:10691287600663495520,imageDocid:7546290306324677845,rds:LO_10691287600663495520|PROD_LO_10691287600663495520,pvt:hg&hl=en&gl=in&udm=28",ChargingCable.in
Original 45W Charger for Nothing Phone 2 Rapid Charging Adapter with Cable,"₹1,598","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:812698249884911888,headlineOfferDocid:812698249884911888,imageDocid:14378079790294008336,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
Ailkin 45W Super Fast Charger Adaptor for CMF|Nothing Phone 1,"₹1,029","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=catalogid:17444274717143477490,headlineOfferDocid:143549058539850462,imageDocid:2914170196528097624,gpcid:9530884937661688987,mid:576462835223106278,pvt:hg&hl=en&gl=in&udm=28",Zepto
Nothing charger-45W for Nothing phones,₹899,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:447450495227983765,headlineOfferDocid:447450495227983765,imageDocid:18160716207599983247,pvt:hg&hl=en&gl=in&udm=28",GoKratos
Original 45W for Nothing CMF Phone 1.5G Quick Charging Adapter (ics-111) White.,"₹1,299","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:1512279338488787702,headlineOfferDocid:1512279338488787702,imageDocid:11563100168569163401,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
MUDO Original Nothing 45W USB Type C Adapter Compatible With Nothing CMF Phone 1 Nothing Phone 2,₹599,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:5410290227885050488,headlineOfferDocid:5410290227885050488,imageDocid:13220736346410454574,pvt:hg&hl=en&gl=in&udm=28",JioMart Marketplace
"45 Watt Fast Adapter Wall Charger Compatible for Nothing Phone 2, Nothing Phone 1, White",₹849,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:3661049817786189384,headlineOfferDocid:3661049817786189384,imageDocid:2200213900270496705,pvt:hg&hl=en&gl=in&udm=28",MMAK
Original 45W Charger for Nothing Phone 2 Quick Charge Power Adapter.,"₹1,299","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:17908732586936698211,headlineOfferDocid:17908732586936698211,imageDocid:7485225721301587980,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
Tart Nothing Phone 45W Original USB Type C Fast Charging Power Adapter Compatible With Nothing CMF Phone 1,₹599,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:5114749072844367745,headlineOfferDocid:5114749072844367745,imageDocid:9886042797812769666,pvt:hg&hl=en&gl=in&udm=28",JioMart Marketplace
Shopkart 45W Gan Fast Charger Compatible For Nothing Phone 3A 2A 2 1 CMF Phone 1 PPS PD 3.0 Type-C Adapter BIS Certified Compatible With 3A Pro 2A,₹899,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:15900591735865245175,headlineOfferDocid:15900591735865245175,imageDocid:9071821439115523630,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
100 Pieces 45W Nothing Adapter - Charger Type: Fast Charging,₹330.40,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:3564621909784855518,headlineOfferDocid:3564621909784855518,imageDocid:11290826700373379646,pvt:hg&hl=en&gl=in&udm=28",Tradeindia.com
Nothing Original 45W Pps Type-C Rapidly Charging Charger Adapter for Nothing Phone 3/3A/3A Pro/2/2A/2A Plus/2A Special Edition/1/CMF Phone 2 Pro &,₹689,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:7802668499732437289,headlineOfferDocid:7802668499732437289,imageDocid:2247434064324309545,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
"Dr Vaku LUCENT 45W Nothing Original Type C Fast Charger Adapter for Phone 3/3a/2/2a/2a Plus/Phone 2A/Phone 2 CMF Nothing Phone 1, USB C Power Charging","₹1,059","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12696095800602226529,headlineOfferDocid:12696095800602226529,imageDocid:17320302155971996340,pvt:hg&hl=en&gl=in&udm=28",Zop
"MAK 45W USB C CMF by Nothing Fast Charger Adapter for CMF Phone 1/Nothing Phone 3a Pro/3a/2A/2a Plus/2/Buds, 45 W Type C Charging Adaptor,White",₹489,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:11277678782220668993,headlineOfferDocid:11277678782220668993,imageDocid:6997461774557952964,pvt:hg&hl=en&gl=in&udm=28",JioMart Marketplace
Original 45W Compatible with Nothing Phone (3a) (Only Adapter),"₹1,099","https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:8439556043478938268,headlineOfferDocid:8439556043478938268,imageDocid:6128249163534964566,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
"45 Watt Fast Adapter Wall Charger With Cable Compatible for Nothing Phone 2, Nothing Phone 1, White",₹949,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:10499635873826967079,headlineOfferDocid:10499635873826967079,imageDocid:15900797102030342575,pvt:hg&hl=en&gl=in&udm=28",MMAK
Tart Nothing Phone Compatible 45W Type C Superfast Original Charger Adapter,₹599,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:8339868379244113100,headlineOfferDocid:8339868379244113100,imageDocid:11574466667193610914,pvt:hg&hl=en&gl=in&udm=28",JioMart Marketplace
"[Original] 45W USB C Fast Charger Adapter, Compatible with Nothing 2a Plus/Phone 2A/Phone 2/CMF, Nothing 3A Charger 1/Buds/Ear Stick, PPS PD 45 W",₹648,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:14062745051060906526,headlineOfferDocid:14062745051060906526,imageDocid:17086472716772592338,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
Tart Nothing 45W Type C Original Adapter Compatible With Nothing CMF Phone 1 Nothing Phone 2 2A,₹599,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:12146056078847113582,headlineOfferDocid:12146056078847113582,imageDocid:12671900139880515902,pvt:hg&hl=en&gl=in&udm=28",JioMart Marketplace
DR VAKU 45W Type C Fast Charger Adapter for Nothing Phone 3/3a/2/2a/2a Plus/2A/Phone 2 CMF Nothing 1 45Watt USB C Power Charging Adaptor- White,₹799,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:15865130354464509198,headlineOfferDocid:15865130354464509198,imageDocid:7224816979845003072,pvt:hg&hl=en&gl=in&udm=28",Amazon.in
Nothing Phone 45W Charger Skin Full Body / Galaxy,₹149,"https://www.google.com/search?ibp=oshop&q=Nothing 45W charger&prds=productid:7174311945638751087,headlineOfferDocid:7174311945638751087,imageDocid:12010389275291411401,pvt:hg&hl=en&gl=in&udm=28",Capes India
